cardiac_neuro_cava_random:WAC|ENSG00000095787.25|EH38E2892861_fwd_tile1-1
cardiac_neuro_cava_random:VCL|ENSG00000035403.18|EH38E2908809_fwd_tile1-1
cardiac_neuro_cava_random:VCL|ENSG00000035403.18|EH38E1478776_fwd_tile1-1
cardiac_neuro_cava_random:PTEN|ENSG00000171862.13|EH38E1486044_fwd_tile1-1
cardiac_neuro_cava_random:RBM20|ENSG00000203867.8|EH38E2924607_fwd_tile1-1
cardiac_neuro_cava_random:RBM20|ENSG00000203867.8|EH38E1499089_fwd_tile1-1
cardiac_neuro_cava_random:RBM20|ENSG00000203867.8|EH38E2924690_fwd_tile1-1
cardiac_neuro_cava_random:TCF7L2|ENSG00000148737.18|EH38E2925643_fwd_tile1-1
cardiac_neuro_cava_random:TCF7L2|ENSG00000148737.18|EH38E1500561_fwd_tile1-1
cardiac_neuro_cava_random:BAG3|ENSG00000151929.10|EH38E2928864_fwd_tile1-1
cardiac_neuro_cava_random:NEBL|ENSG00000078114.19|EH38E2889876_rev_tile1-1
cardiac_neuro_cava_random:NEBL|ENSG00000078114.19|EH38E2889889_rev_tile1-1
cardiac_neuro_cava_random:NEBL|ENSG00000078114.19|EH38E2889958_rev_tile1-1
cardiac_neuro_cava_random:MKX|ENSG00000150051.14|EH38E2892514_rev_tile1-1
cardiac_neuro_cava_random:ANK3|ENSG00000151150.22|EH38E2902488_rev_tile1-1
cardiac_neuro_cava_random:ANK3|ENSG00000151150.22|EH38E2902534_rev_tile1-1
cardiac_neuro_cava_random:ANK3|ENSG00000151150.22|EH38E1470934_rev_tile1-1
cardiac_neuro_cava_random:ANK3|ENSG00000151150.22|EH38E1470946_rev_tile1-1
cardiac_neuro_cava_random:ANK3|ENSG00000151150.22|EH38E2902780_rev_tile1-1
cardiac_neuro_cava_random:CTNNA3|ENSG00000183230.18|EH38E1474159_rev_tile1-1
cardiac_neuro_cava_random:NODAL|ENSG00000156574.10|EH38E1475899_rev_tile1-1
